year,iso_code,country,ft_globalclimatephysicalriskindexgcpri
1999,TCD,Chad,4.489172764513366
1993,CHL,Chile,12.401386455787534
1994,CHL,Chile,11.559781005404718
1995,CHL,Chile,12.32496758642704
1996,CHL,Chile,12.82735717887609
1997,CHL,Chile,11.734516229036371
1998,CHL,Chile,10.24581573640478
1999,CHL,Chile,11.37145997030571
1993,COL,Colombia,6.078054206290367
1994,COL,Colombia,6.206536881150434
1995,COL,Colombia,5.707536500151774
1996,COL,Colombia,6.067980863160395
1997,COL,Colombia,7.959064296947223
1998,COL,Colombia,7.28970226073303
1999,COL,Colombia,6.567473123224146
1993,CRI,Costa Rica,3.6912033723057354
1994,CRI,Costa Rica,8.63804497687178
1995,CRI,Costa Rica,8.012408625569831
1996,CRI,Costa Rica,8.868767121578609
1997,CRI,Costa Rica,7.63912946580994
1998,CRI,Costa Rica,12.85624972389488
1999,CRI,Costa Rica,7.366375010898192
1993,CIV,Cote d'Ivoire,9.909497147608318
1994,CIV,Cote d'Ivoire,13.745304673344387
1995,CIV,Cote d'Ivoire,14.316005366561448
1996,CIV,Cote d'Ivoire,11.021091621903365
1997,CIV,Cote d'Ivoire,10.125867699398452
1998,CIV,Cote d'Ivoire,16.324149057277506
1999,CIV,Cote d'Ivoire,8.7942744390122
1993,HRV,Croatia,12.7423107595509
1994,HRV,Croatia,10.57290846048515
1995,HRV,Croatia,14.469168563345946
1996,HRV,Croatia,10.311487774144096
1997,HRV,Croatia,13.804156276365632
1998,HRV,Croatia,27.75856059436421
1999,HRV,Croatia,18.608428736960462
1993,CUB,Cuba,10.497069432342556
1994,CUB,Cuba,7.301126786560506
1995,CUB,Cuba,6.616069629797009
1996,CUB,Cuba,8.578486062010281
1997,CUB,Cuba,7.106865518911384
1998,CUB,Cuba,10.39333934998562
1999,CUB,Cuba,10.84160800259816
1993,CYP,Cyprus,16.867093308235106
1994,CYP,Cyprus,15.69558090661375
1995,CYP,Cyprus,12.244794899924294
1996,CYP,Cyprus,12.319165964883656
1997,CYP,Cyprus,13.26798746433066
1998,CYP,Cyprus,14.937359034823196
1999,CYP,Cyprus,11.447722964058327
1993,CZE,Czech Republic,16.64122778915348
1994,CZE,Czech Republic,15.1559291630685
1995,CZE,Czech Republic,16.31142430048559
1996,CZE,Czech Republic,17.49020455744963
1997,CZE,Czech Republic,13.842157054416548
1998,CZE,Czech Republic,15.20095704142429
